Sample,Salinity,pH,Conductance,DO,T,Phosphas,N02,NH4,SiO3,NO3
Sample1,33.67,8.03,56098,4.73,29.7,0.011,8.00E-04,0,0.052052,0.014
Sample2,33.67,8.03,56098,4.73,29.7,0.011,8.00E-04,0,0.052052,0.014
Sample3,33.48,8.04,55817,4.6,30.2,0.0236,9.00E-04,0.0164,0.063568,0.021
Sample4,33.48,8.04,55817,4.6,30.2,0.0236,9.00E-04,0.0164,0.063568,0.021
Sample5,33.69,8.08,56473,4.65,30.1,0.0167,3.00E-04,0,0.059354,0.017
Sample6,33.69,8.08,56473,4.65,30.1,0.0167,3.00E-04,0,0.059354,0.017
Sample7,33.67,8.05,56747,4.74,30.4,0.0135,0.0018,0.0119,0.052828,0.021
Sample8,33.67,8.05,56747,4.74,30.4,0.0135,0.0018,0.0119,0.052828,0.021
Sample9,33.63,8.07,56548,4.79,33.63,0.002,0.0017,0.0096,0.042244,0.032
Sample10,33.63,8.07,56548,4.79,33.63,0.002,0.0017,0.0096,0.042244,0.032
Sample11,33.39,8.06,56490,4.68,30.5,0.018,0.0012,0,0.045256,0.017
Sample12,33.39,8.06,56490,4.68,30.5,0.018,0.0012,0,0.045256,0.017
Sample13,33.36,8.04,56161,4.4,30.2,0.015,5.00E-04,0.0045,0.057764,0.022
Sample14,33.36,8.04,56161,4.4,30.2,0.015,5.00E-04,0.0045,0.057764,0.022
Sample15,33.35,8.05,56015,4.59,30.1,0.0045,0.001,0.0185,0.040379,0.011
Sample16,33.35,8.05,56015,4.59,30.1,0.0045,0.001,0.0185,0.040379,0.011
Sample17,33.37,8.04,55877,4.79,29.9,0.0054,0.002,4.00E-04,0.055905,0.021
Sample18,33.37,8.04,55877,4.79,29.9,0.0054,0.002,4.00E-04,0.055905,0.021
Sample19,33.32,8.09,55741,4.68,29.9,0.0083,0.0011,0.0326,0.046376,0.015
Sample20,33.32,8.09,55741,4.68,29.9,0.0083,0.0011,0.0326,0.046376,0.015
Sample21,33.39,8.07,55660,4.74,29.7,5.00E-04,7.00E-04,0.0134,0.025231,0.007
Sample22,33.39,8.07,55660,4.74,29.7,5.00E-04,7.00E-04,0.0134,0.025231,0.007
Sample23,33.4,8.06,56079,4.9,30.1,0.0123,0.0011,0.0031,0.056319,0.018
Sample24,33.4,8.06,56079,4.9,30.1,0.0123,0.0011,0.0031,0.056319,0.018
Sample25,33.42,8.05,55943,4.89,29.9,0.0061,0.002,0.096,0.042874,0.027
Sample26,33.42,8.05,55943,4.89,29.9,0.0061,0.002,0.096,0.042874,0.027
Sample27,33.41,8.02,55088,4.87,29.1,0.0079,4.00E-04,0,0.049764,0.014
Sample28,33.41,8.02,55088,4.87,29.1,0.0079,4.00E-04,0,0.049764,0.014
Sample29,33.44,8.04,55390,4.92,29.4,0.023,0.0026,0.0411,0.046108,0
Sample30,33.44,8.04,55390,4.92,29.4,0.023,0.0026,0.0411,0.046108,0
Sample31,33.47,8.03,55316,4.96,29.3,0.0162,5.00E-04,0,0.050492,0.016
Sample32,33.47,8.03,55316,4.96,29.3,0.0162,5.00E-04,0,0.050492,0.016
Sample33,33.47,8.03,55190,4.96,29.1,0.0035,6.00E-04,0,0.045158,0.017
Sample34,33.47,8.03,55190,4.96,29.1,0.0035,6.00E-04,0,0.045158,0.017
Sample35,33.34,8.06,55251,4.77,29.4,0.0072,0.0025,0.0922,0.038996,0.03
Sample36,33.34,8.06,55251,4.77,29.4,0.0072,0.0025,0.0922,0.038996,0.03
Sample37,33.39,7.99,55198,4.9,29.2,0.0235,0.0034,0.0332,0.060018,0.033
Sample38,33.39,7.99,55198,4.9,29.2,0.0235,0.0034,0.0332,0.060018,0.033
