SampleID,SampleID2,Station,Size1,Size2,Size,Group,Health_Status,Distance,long,la,Salinity,pH,Conductance,DO,T,PO3,N02,NH4,SiO3,NO3
Sample1,Bacteria_BE708-09M0001,ZS1B3,3,0,0,NearDJ,Poor,0,114.410772,16.089184,33.67,8.03,56098,4.73,29.7,0.011,8.00E-04,0,0.052052,0.014
Sample2,Bacteria_BE708-09M0002,ZS1B0,0,0,0,NearDJ,Poor,0,114.410772,16.089184,33.67,8.03,56098,4.73,29.7,0.011,8.00E-04,0,0.052052,0.014
Sample3,Bacteria_BE708-09M0005,ZS5B3,3,0,0,NearDJ,Poor,0,114.790179,16.216582,33.48,8.04,55817,4.6,30.2,0.0236,9.00E-04,0.0164,0.063568,0.021
Sample4,Bacteria_BE708-09M0006,ZS5B0,0,0,0,NearDJ,Poor,0,114.790179,16.216582,33.48,8.04,55817,4.6,30.2,0.0236,9.00E-04,0.0164,0.063568,0.021
Sample5,Bacteria_BE708-09M0009,ZS6B3,3,0,0,NearDJ,Poor,0,114.282417,16.062678,33.69,8.08,56473,4.65,30.1,0.0167,3.00E-04,0,0.059354,0.017
Sample6,Bacteria_BE708-09M0010,ZS6B0,0,0,0,NearDJ,Poor,0,114.282417,16.062678,33.69,8.08,56473,4.65,30.1,0.0167,3.00E-04,0,0.059354,0.017
Sample7,Bacteria_BE708-09M0013,ZSXB3,3,0,0,NearDJ,Poor,0,114.127307,15.847771,33.67,8.05,56747,4.74,30.4,0.0135,0.0018,0.0119,0.052828,0.021
Sample8,Bacteria_BE708-09M0014,ZSXB0,0,0,0,NearDJ,Poor,0,114.127307,15.847771,33.67,8.05,56747,4.74,30.4,0.0135,0.0018,0.0119,0.052828,0.021
Sample9,Bacteria_BE708-09M0017,ZS7B3,3,0,0,NearDJ,Poor,0,113.852153,15.49222,33.63,8.07,56548,4.79,33.63,0.002,0.0017,0.0096,0.042244,0.032
Sample10,Bacteria_BE708-09M0018,ZS7B0,0,0,0,NearDJ,Poor,0,113.852153,15.49222,33.63,8.07,56548,4.79,33.63,0.002,0.0017,0.0096,0.042244,0.032
Sample11,Bacteria_BE708-09M0021,YS1B3,3,0,0,NearDJ,Moderate,0,113.015028,9.667981,33.39,8.06,56490,4.68,30.5,0.018,0.0012,0,0.045256,0.017
Sample12,Bacteria_BE708-09M0022,YS1B0,0,0,0,NearDJ,Moderate,0,113.015028,9.667981,33.39,8.06,56490,4.68,30.5,0.018,0.0012,0,0.045256,0.017
Sample13,Bacteria_BE708-09M0025,Y1B3,3,0,0,OffDJ,Moderate,1.18,112.915039,9.572523,33.36,8.04,56161,4.4,30.2,0.015,5.00E-04,0.0045,0.057764,0.022
Sample14,Bacteria_BE708-09M0026,Y1B0,0,0,0,OffDJ,Moderate,1.18,112.915039,9.572523,33.36,8.04,56161,4.4,30.2,0.015,5.00E-04,0.0045,0.057764,0.022
Sample15,Bacteria_BE708-09M0029,Y2B3,3,0,0,NearDJ,Moderate,0.317,112.88738,9.55856,33.35,8.05,56015,4.59,30.1,0.0045,0.001,0.0185,0.040379,0.011
Sample16,Bacteria_BE708-09M0030,Y2B0,0,0,0,NearDJ,Moderate,0.317,112.88738,9.55856,33.35,8.05,56015,4.59,30.1,0.0045,0.001,0.0185,0.040379,0.011
Sample17,Bacteria_BE708-09M0033,Y3B3,3,0,0,NearDJ,Poor,0.39,112.87379,9.54242,33.37,8.04,55877,4.79,29.9,0.0054,0.002,4.00E-04,0.055905,0.021
Sample18,Bacteria_BE708-09M0034,Y3B0,0,0,0,NearDJ,Poor,0.39,112.87379,9.54242,33.37,8.04,55877,4.79,29.9,0.0054,0.002,4.00E-04,0.055905,0.021
Sample19,Bacteria_BE708-09M0037,Y6B3,3,0,0,NearDJ,Moderate,0.41,112.8862,9.53826,33.32,8.09,55741,4.68,29.9,0.0083,0.0011,0.0326,0.046376,0.015
Sample20,Bacteria_BE708-09M0038,Y6B0,0,0,0,NearDJ,Moderate,0.41,112.8862,9.53826,33.32,8.09,55741,4.68,29.9,0.0083,0.0011,0.0326,0.046376,0.015
Sample21,Bacteria_BE708-09M0041,Y7B3,3,0,0,NearDJ,Good,0.147,112.89419,9.54397,33.39,8.07,55660,4.74,29.7,5.00E-04,7.00E-04,0.0134,0.025231,0.007
Sample22,Bacteria_BE708-09M0042,Y7B0,0,0,0,NearDJ,Good,0.147,112.89419,9.54397,33.39,8.07,55660,4.74,29.7,5.00E-04,7.00E-04,0.0134,0.025231,0.007
Sample23,Bacteria_BE708-09M0045,YS2B3,3,0,0,NearDJ,Moderate,0,112.98023,9.66016,33.4,8.06,56079,4.9,30.1,0.0123,0.0011,0.0031,0.056319,0.018
Sample24,Bacteria_BE708-09M0046,YS2B0,0,0,0,NearDJ,Moderate,0,112.98023,9.66016,33.4,8.06,56079,4.9,30.1,0.0123,0.0011,0.0031,0.056319,0.018
Sample25,Bacteria_BE708-09M0049,YSB3,3,0,0,OffDJ,Moderate,2.28,113.0578,9.68914,33.42,8.05,55943,4.89,29.9,0.0061,0.002,0.096,0.042874,0.027
Sample26,Bacteria_BE708-09M0050,YSB0,0,0,0,OffDJ,Moderate,2.28,113.0578,9.68914,33.42,8.05,55943,4.89,29.9,0.0061,0.002,0.096,0.042874,0.027
Sample27,Bacteria_BE708-09M0053,XM1B3,3,0,0,OffDJ,Moderate,0.644,114.48236,9.90025,33.41,8.02,55088,4.87,29.1,0.0079,4.00E-04,0,0.049764,0.014
Sample28,Bacteria_BE708-09M0054,XM1B0,0,0,0,OffDJ,Moderate,0.644,114.48236,9.90025,33.41,8.02,55088,4.87,29.1,0.0079,4.00E-04,0,0.049764,0.014
Sample29,Bacteria_BE708-09M0057,ZX1B3,3,0,0,NearDJ,Poor,0,114.46913,9.83714,33.44,8.04,55390,4.92,29.4,0.023,0.0026,0.0411,0.046108,0
Sample30,Bacteria_BE708-09M0058,ZX1B0,0,0,0,NearDJ,Poor,0,114.46913,9.83714,33.44,8.04,55390,4.92,29.4,0.023,0.0026,0.0411,0.046108,0
Sample31,Bacteria_BE708-09M0061,BS1B3,3,0,0,NearDJ,Poor,0,114.51561,9.87534,33.47,8.03,55316,4.96,29.3,0.0162,5.00E-04,0,0.050492,0.016
